KlAddrFamily	enum	sockaddr.h
KlAllocator	struct	allocator.h
KlAsyncFn	callback	async.h
KlAsyncOp	struct	async.h
KlCidr	struct	proxy_protocol.h
KlCompress	struct	compress.h
KlCompressConfig	struct	compress.h
KlCompressCtx	opaque	compress.h
KlCompressFactory	callback	compress.h
KlConnectArmDeadlineFn	callback	connect_op.h
KlConnectArmDelayFn	callback	connect_op.h
KlConnectAttemptCancelFn	callback	connect_op.h
KlConnectAttemptFn	callback	connect_op.h
KlConnectCancelDeadlineFn	callback	connect_op.h
KlConnectCancelDelayFn	callback	connect_op.h
KlConnectDetachFn	callback	connect_op.h
KlConnectDisposeFn	callback	connect_op.h
KlConnectDoneFn	callback	connect_op.h
KlConnectOp	opaque	connect_op.h
KlConnectOpHooks	struct	connect_op.h
KlConnectOpState	enum	connect_op.h
KlConnectResolveCancelFn	callback	connect_op.h
KlConnectResolveFn	callback	connect_op.h
KlConnectResult	enum	connect_op.h
KlDatagram	opaque	datagram.h
KlDatagramBatch	opaque	datagram_batch.h
KlDatagramCloseFn	callback	datagram.h
KlDatagramCloseResult	enum	datagram.h
KlDatagramConfig	struct	datagram.h
KlDatagramDrainFn	callback	datagram.h
KlDatagramMessage	struct	datagram.h
KlDatagramOps	struct	socket_dgram.h
KlDatagramQueuePolicy	enum	datagram.h
KlDatagramRecvFn	callback	datagram.h
KlDatagramRecvSegmentsFn	callback	datagram_batch.h
KlDatagramSendStatus	enum	datagram.h
KlDatagramSocketConfig	struct	datagram.h
KlDatagramWritableFn	callback	datagram.h
KlDecompress	struct	decompress.h
KlDecompressConfig	struct	decompress.h
KlDecompressFactory	callback	decompress.h
KlDecompressStream	struct	decompress.h
KlDgramBatchDir	enum	datagram_batch.h
KlDgramCloseState	enum	datagram.h
KlDgramRxMeta	struct	socket_dgram.h
KlDgramRxSlot	struct	socket_dgram.h
KlDgramTxDesc	struct	socket_dgram.h
KlDnsResolverConfig	struct	dns_resolver.h
KlDrain	struct	drain.h
KlDrainCb	callback	drain.h
KlDrainWriteFn	callback	drain.h
KlError	enum	error.h
KlEvent	struct	event.h
KlEventCtx	struct	event_ctx.h
KlEventLoop	struct	event.h
KlEventMask	enum	event.h
KlEventOps	struct	event.h
KlEventProvider	struct	event.h
KlFileIO	struct	file_io.h
KlFileIOResult	struct	file_io.h
KlHttp1ChunkedDecoder	struct	http1_chunked.h
KlHttp1ChunkedState	enum	http1_chunked.h
KlHttp1ParseResult	enum	http1_parser.h
KlHttp1Parser	alias	http1_parser.h
KlHttp1ParserFactory	callback	http_server.h
KlHttp1RequestParser	struct	http1_parser.h
KlHttp1ResponseParser	struct	http1_parser.h
KlHttp1ResponseParserFactory	callback	http1_parser.h
KlHttp2ClientCallbacks	struct	http2_client.h
KlHttp2ClientConfig	struct	http2_client.h
KlHttp2ClientConn	opaque	http2_client.h
KlHttp2ClientErrorFn	callback	http2_client.h
KlHttp2ClientHeader	struct	http2_client.h
KlHttp2ClientResponse	struct	http2_client.h
KlHttp2ClientResponseFn	callback	http2_client.h
KlHttp2ClientSession	struct	http2_client.h
KlHttp2ClientSessionFactory	callback	http2_client.h
KlHttp2ClientStream	opaque	http2_client.h
KlHttp2ServerCallbacks	struct	http2_server.h
KlHttp2ServerConfig	struct	http2_server.h
KlHttp2ServerConn	opaque	http2_server.h
KlHttp2ServerSession	struct	http2_server.h
KlHttp2ServerSessionFactory	callback	http2_server.h
KlHttp2ServerStream	opaque	http2_server.h
KlHttpAccessLogFn	callback	http_server.h
KlHttpBodyMode	enum	http_response.h
KlHttpBodyReader	struct	http_body_reader.h
KlHttpBodyReaderFactory	callback	http_body_reader.h
KlHttpBufReader	struct	http_body_reader.h
KlHttpClient	opaque	http_client.h
KlHttpClientBodyFn	callback	http_client.h
KlHttpClientConfig	struct	http_client.h
KlHttpClientDoneFn	callback	http_client.h
