header	type	kind	category	note
allocator.h	KlAllocator	struct	caller-constructed	caller-built; F2-C append-only
async.h	KlAsyncFn	callback	api-signature	-
async.h	KlAsyncOp	struct	caller-owned-value	caller-owned value; caller sets callbacks, library owns the rest
async.h	KlHttpConn	opaque	opaque	opaque handle; layout + server/driver fns private (http_conn_internal.h); pool holds KlHttpConn*
compress.h	KlCompress	struct	caller-constructed	caller-built; F2-C append-only
compress.h	KlCompressConfig	struct	caller-constructed	caller-built; F2-C append-only
compress.h	KlCompressCtx	opaque	opaque	private handle
compress.h	KlCompressFactory	callback	api-signature	-
connect_op.h	KlConnectArmDeadlineFn	callback	api-signature	-
connect_op.h	KlConnectArmDelayFn	callback	api-signature	-
connect_op.h	KlConnectAttemptCancelFn	callback	api-signature	-
connect_op.h	KlConnectAttemptFn	callback	api-signature	-
connect_op.h	KlConnectCancelDeadlineFn	callback	api-signature	-
connect_op.h	KlConnectCancelDelayFn	callback	api-signature	-
connect_op.h	KlConnectDetachFn	callback	api-signature	-
connect_op.h	KlConnectDisposeFn	callback	api-signature	-
connect_op.h	KlConnectDoneFn	callback	api-signature	-
connect_op.h	KlConnectOp	opaque	opt-in-unstable-layout	layout in *_detail.h (opt-in)
connect_op.h	KlConnectOpHooks	struct	caller-constructed	caller-built; F2-C append-only
connect_op.h	KlConnectOpState	enum	enum-constants	-
connect_op.h	KlConnectResolveCancelFn	callback	api-signature	-
connect_op.h	KlConnectResolveFn	callback	api-signature	-
connect_op.h	KlConnectResult	enum	enum-constants	-
datagram.h	KlDatagram	opaque	opt-in-unstable-layout	layout in *_detail.h (opt-in)
datagram.h	KlDatagramCloseFn	callback	api-signature	-
datagram.h	KlDatagramCloseResult	enum	enum-constants	-
datagram.h	KlDatagramConfig	struct	caller-constructed	caller-built; F2-C append-only
datagram.h	KlDatagramDrainFn	callback	api-signature	-
datagram.h	KlDatagramMessage	struct	caller-constructed	caller-built; F2-C append-only
datagram.h	KlDatagramQueuePolicy	enum	enum-constants	-
datagram.h	KlDatagramRecvFn	callback	api-signature	-
datagram.h	KlDatagramSendStatus	enum	enum-constants	-
datagram.h	KlDatagramSocketConfig	struct	caller-constructed	caller-built; F2-C append-only
datagram.h	KlDatagramWritableFn	callback	api-signature	-
datagram.h	KlDgramCloseState	enum	enum-constants	-
datagram_batch.h	KlDatagramBatch	opaque	opaque	private handle
datagram_batch.h	KlDatagramRecvSegmentsFn	callback	api-signature	-
datagram_batch.h	KlDgramBatchDir	enum	enum-constants	-
decompress.h	KlDecompress	struct	caller-constructed	caller-built; F2-C append-only
decompress.h	KlDecompressConfig	struct	caller-constructed	caller-built; F2-C append-only
decompress.h	KlDecompressFactory	callback	api-signature	-
decompress.h	KlDecompressStream	struct	caller-owned-value	F2-B caller-owned value; init-in-place; layout internal
dns_resolver.h	KlDnsResolverConfig	struct	caller-constructed	caller-built; F2-C append-only
drain.h	KlDrain	struct	caller-owned-value	F2-B caller-owned value; init-in-place; layout internal
drain.h	KlDrainCb	callback	api-signature	-
drain.h	KlDrainWriteFn	callback	api-signature	-
error.h	KlError	enum	enum-constants	-
event.h	KlEvent	struct	caller-inspectable	library-filled; caller reads; F2-C append-only
event.h	KlEventLoop	struct	caller-owned-value	F2-B/F2-D caller-owned value; fd removed to backend state
event.h	KlEventMask	enum	enum-constants	-
event.h	KlEventOps	struct	caller-constructed	caller-built; F2-C append-only
event.h	KlEventProvider	struct	caller-constructed	caller-built; F2-C append-only
